"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"iii";-0,2658;1,7013;4,7105;-11,3384
"atento";-0,5279;-0,9613;1,3592;0,378
"nieto";10,5299;-3,0114;0,4626;-3,5464
"municipio";10,6769;-24,2709;32,8978;-21,8767
"tranquilizarte";-7,7066;-17,7849;-9,2257;48,6618
"leonardo";1,754;-0,9895;1,4279;-1,885
"chustaporro";-0,999;-2,3053;-1,1959;6,3075
"video";0,5943;-29,7133;0,6977;13,7857
"astrazeneca";-0,7135;-1,6467;7,4825;-1,9002
"progenitora";-7,0644;-16,3028;-8,4569;44,6063
"victor";-0,999;5,5164;-1,1959;-1,7216
"gilipollas";-0,7849;-1,8113;-0,9396;4,9559
"escándalo";-0,4826;3,3307;-0,3692;-2,3612
"herida";7,5355;0,8844;-0,3136;-9,7413
"institucionalizar";0,2894;0,6095;-0,4093;-0,3836
"maruchi";8,1957;-1,6467;-0,8542;-1,9002
"hembra";-0,2686;3,6534;-0,8542;-1,9002
"símbolo";0,801;2,2694;-0,3965;-3,175
"oficial";10,6164;0,5531;5,2958;-28,4183
"syzavel19";-2,1406;-4,94;-2,5626;13,5163
"rico";-5,5483;16,0823;0,2849;-8,1619
"nexo";-2,4974;15,6465;-2,9897;-5,3453
"romanar";-1,8776;15,8006;-1,3761;-9,5013
"soñar";5,0479;-0,8478;-3,3834;0,2722
"infiltra";-1,213;-1,853;-1,4521;6,1544
"cliente";-0,9912;3,2707;1,5591;-5,5285
"pronunciamiento";-0,3233;-4,9898;-1,135;6,4877
"suceso";-1,3355;6,1653;0,3725;-5,1894
"despreciar";-0,4801;3,3415;-1,1172;-1,1799
"estratégico";-0,6286;-1,536;11,7717;-5,3587
"borde";2,7753;0,2642;-0,9948;-1,0719
"directo";0,5412;-0,6398;-0,9952;1,031
"gigante";-0,5385;1,0904;0,3195;-0,761
"userhaytam";-3,7105;-8,5628;-4,4419;23,4287
"importante";-1,4085;2,9332;20,3791;-25,7167
"donizquierdo_";-0,999;-2,3053;-1,1959;6,3075
"arrepentimiento";-0,5554;4,2144;-1,3667;-1,3782
"constitucional";0,5103;-3,9134;16,7966;-7,9383
"claridad";-0,43;5,1792;-0,351;-4,5934
"alejandro";-0,4424;-5,8995;30,3526;-12,2603
"alejandra";3,2035;-5,4525;3,4468;-1,6782
"matriz";-0,8562;1,8795;0,4377;-1,4002
"conveniente";-1,1417;4,2144;-0,3604;-2,0499
"frecuentemente";-8,0288;59,5408;-8,6343;-25,0847
"dominico";-0,313;4,1146;-0,9396;-2,0902
"cuidada";0,5034;-2,1407;-0,5277;1,8618
"barca";-0,8562;1,8795;-1,025;-0,2437
"habitualmente";-1,9266;-0,295;-0,5781;2,0078
"cuidado";45,4324;-4,4102;-4,1156;-11,1271
"blando";-1,0703;0,2697;0,9447;-0,2597
"1348";-2,4974;17,5326;-2,9897;-6,6509
"letal";-0,3589;0,497;1,3238;-1,4002
"automóvil";10,5504;-0,7406;0,5362;-10,6415
"añadía";-0,7135;5,0092;-0,8542;-1,9002
"procedencia";-1,3374;2,9142;1,9451;-5,7007
"jurista";-0,2193;2,3964;0,4994;-3,9905
"adornar";1,314;0,93;-0,2746;-2,6603
"montaigne";-6,0653;42,5809;-7,2609;-16,1526
"festival";2,3496;-4,446;4,9334;-3,0458
"privilegiar";-1,1615;5,1526;-0,3394;-3,0458
"putos";-0,767;-3,2933;-0,9803;6,186
"lámina";6,1394;-0,5959;-0,6518;-2,8503
"sorpresa";-1,1379;0,357;-0,6414;1,185
"azteca";0,9838;-2,5757;3,9456;-1,6524
"mexicanidad";-1,3557;-3,1287;14,2169;-3,6104
"agusprovenzanok";-0,7135;-1,6467;-0,8542;4,5054
"cobertura";6,4444;-3,0473;1,8296;-4,6351
"erika";6,1394;-2,47;0,5638;-2,8503
"falso";-2,4714;2,8465;-0,3194;-0,6997
"descarado";-0,2686;0,749;-0,3526;-0,2993
"cuatro";11,5364;-3,3104;20,1791;-32,4238
"sobrenatural";-1,3557;-0,9792;-0,9129;3,8686
"paridad";9,5407;-4,1167;0,3283;-2,7289
"justasith";-7,778;-17,9496;-9,3112;49,1124
"producirse";-1,4564;14,1821;-2,7334;-6,0808
"apoyorocio28m";-1,8552;-4,2814;-2,2209;11,7141
"narración";1,6037;-0,3515;-0,4677;-0,4751
"__la";-0,8562;-1,976;-1,025;5,4065
"terminar";3,1279;-19,6715;0,2987;8,1557
"tapa";1,2873;-0,2163;-0,8542;-0,2993
"horno";-0,2686;1,8452;0,2549;-1,9002
"gertz";0,8223;-2,3053;4,7889;-2,6603
"determinante";0,777;1,5735;0,5515;-4,7506
"martí";-0,3589;-1,976;4,6195;-0,8414
"perdido";-0,2147;3,1142;-0,5781;-2,3487
"indudable";-0,933;4,4298;0,405;-4,3705
"cordura";-0,2686;-0,4655;0,5874;0,3027
"privatización";0,2894;0,3224;-0,4093;0,2317
"nuclear";-6,5648;13,7756;1,7572;-14,3646
"parque";8,9837;-13,9927;-0,4474;0,9735
"vetar";0,3361;-0,4655;0,5874;-0,2993
